../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
Processing ../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
/home/ubuntu/debloating_templates/hotcrp/signout.php: 5-5
/home/ubuntu/debloating_templates/hotcrp/index.php: 5-5
/home/ubuntu/debloating_templates/hotcrp/lib/navigation.php: 5-5
/home/ubuntu/debloating_templates/hotcrp/lib/navigation.php: 291-291
/home/ubuntu/debloating_templates/hotcrp/lib/navigation.php: 462-462
/home/ubuntu/debloating_templates/hotcrp/lib/navigation.php: 298-298
/home/ubuntu/debloating_templates/hotcrp/lib/navigation.php: 301-301
/home/ubuntu/debloating_templates/hotcrp/lib/navigation.php: 41-41
/home/ubuntu/debloating_templates/hotcrp/lib/navigation.php: 42-42
/home/ubuntu/debloating_templates/hotcrp/index.php: 6-6
/home/ubuntu/debloating_templates/hotcrp/lib/navigation.php: 307-307
/home/ubuntu/debloating_templates/hotcrp/index.php: 9-9
/home/ubuntu/debloating_templates/hotcrp/index.php: 22-22
/home/ubuntu/debloating_templates/hotcrp/index.php: 44-44
/home/ubuntu/debloating_templates/hotcrp/index.php: 47-47
/home/ubuntu/debloating_templates/hotcrp/index.php: 50-50
/home/ubuntu/debloating_templates/hotcrp/src/initweb.php: 5-5
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 5-5
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 6-6
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 9-9
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 10-10
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 11-11
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 12-12
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 13-13
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 14-14
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 15-15
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 17-17
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 18-18
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 19-19
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 20-20
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 22-22
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 23-23
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 24-24
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 26-26
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 27-27
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 28-28
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 29-29
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 31-31
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 32-32
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 33-33
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 34-34
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 35-35
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 36-36
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 37-37
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 39-39
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 40-40
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 41-41
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 42-42
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 43-43
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 44-44
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 45-45
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 46-46
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 47-47
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 48-48
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 49-49
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 51-51
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 52-52
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 53-53
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 54-54
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 55-55
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 56-56
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 57-57
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 58-58
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 59-59
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 60-60
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 61-61
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 63-63
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 64-64
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 65-65
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 66-66
