animate_dead/logs/606343dc411d5_line_coverage_logs.txt
Processing animate_dead/logs/606343dc411d5_line_coverage_logs.txt
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/js/messages.php: 9-9
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/js/messages.php: 10-10
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/js/messages.php: 13-13
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/js/messages.php: 17-17
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/js/messages.php: 21-21
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/js/messages.php: 22-22
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/js/messages.php: 23-23
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 33-33
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 34-34
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 35-35
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 36-36
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 37-37
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 38-38
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 39-39
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 40-40
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 41-41
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 42-42
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 43-43
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 44-44
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 45-45
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 50-50
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 58-58
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 68-68
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 73-73
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 12-12
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 20-20
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 26-26
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 31-31
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 38-38
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 43-43
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 48-48
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 53-53
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 58-58
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 63-63
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/vendor_config.php: 69-69
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 78-78
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 85-85
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/autoload.php: 5-5
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 4-4
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 60-60
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/autoload.php: 7-7
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 15-15
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 18-18
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 19-19
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 9-9
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 10-10
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 0-0
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 42-42
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 330-330
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 60-60
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 61-61
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 62-62
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 63-63
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 20-20
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 21-21
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/include_paths.php: 4-4
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/include_paths.php: 5-5
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/include_paths.php: 6-6
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 22-22
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 23-23
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 24-24
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 25-25
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 26-26
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_static.php: 0-0
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_static.php: 6-6
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 32-32
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 48-48
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 218-218
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 49-49
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 50-50
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 54-54
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 55-55
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 62-62
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 63-63
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/symfony/polyfill-mbstring/bootstrap.php: 12-12
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/symfony/polyfill-mbstring/bootstrap.php: 14-14
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/symfony/polyfill-mbstring/bootstrap.php: 52-52
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 64-64
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpseclib/phpseclib/phpseclib/bootstrap.php: 8-8
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpseclib/phpseclib/phpseclib/bootstrap.php: 10-10
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/autoload_real.php: 57-57
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 90-90
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 235-235
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 250-250
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 254-254
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 257-257
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 260-260
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 274-274
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 275-275
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 276-276
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 277-277
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 278-278
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 279-279
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 280-280
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 281-281
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 262-262
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 265-265
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 269-269
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 236-236
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 332-332
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/Loader.php: 0-0
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/Loader.php: 26-26
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/composer/ClassLoader.php: 237-237
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/Loader.php: 84-84
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 24-24
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 34-34
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 45-45
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 54-54
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 64-64
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 76-76
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 90-90
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 106-106
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 121-121
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 138-138
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 153-153
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 170-170
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 186-186
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/vendor/phpmyadmin/motranslator/src/functions.php: 204-204
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 95-95
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/ErrorHandler.php: 0-0
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/ErrorHandler.php: 10-10
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/ErrorHandler.php: 17-17
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/ErrorHandler.php: 48-48
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/ErrorHandler.php: 49-49
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/ErrorHandler.php: 51-51
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 100-100
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 10-10
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 11-11
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 12-12
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 13-13
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 16-16
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 23-23
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/string.lib.php: 12-12
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/string.lib.php: 16-16
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/string.lib.php: 17-17
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/string.lib.php: 18-18
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/string.lib.php: 21-21
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/string.lib.php: 22-22
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/string.lib.php: 23-23
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/string.lib.php: 26-26
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/stringMb.lib.php: 12-12
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/stringMb.lib.php: 16-16
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 54-54
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 105-105
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 197-197
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 216-216
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 267-267
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 291-291
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 331-331
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 357-357
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 392-392
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 434-434
